frame_idx,sim_time,vehicle_id,type,x,y,z
0,16544.208277389407,45,vehicle.tesla.model3,105.98493957519531,62.446502685546875,0.0015032958472147584
0,16544.208277389407,46,vehicle.yamaha.yzf,-110.76255798339844,46.660091400146484,-0.05482221394777298
0,16544.208277389407,47,vehicle.mitsubishi.fusorosa,-106.68788146972656,-4.847376823425293,-0.014655875973403454
0,16544.208277389407,48,vehicle.gazelle.omafiets,-87.27456665039062,24.441240310668945,-0.013063068501651287
0,16544.208277389407,49,vehicle.mercedes.coupe,3.0477840900421143,130.21006774902344,0.13982589542865753
0,16544.208277389407,50,vehicle.jeep.wrangler_rubicon,32.992462158203125,-67.90009307861328,0.02373943291604519
1,16545.52847187221,45,vehicle.tesla.model3,105.97512817382812,61.702606201171875,0.0014742278726771474
1,16545.52847187221,46,vehicle.yamaha.yzf,-110.76254272460938,46.660091400146484,-0.05483655631542206
1,16545.52847187221,47,vehicle.mitsubishi.fusorosa,-106.68756866455078,-4.847453594207764,-0.014203071594238281
1,16545.52847187221,48,vehicle.gazelle.omafiets,-87.27456665039062,24.441240310668945,-0.013063068501651287
1,16545.52847187221,49,vehicle.mercedes.coupe,3.0477840900421143,130.21006774902344,0.14066872000694275
1,16545.52847187221,50,vehicle.jeep.wrangler_rubicon,32.99261474609375,-67.90009307861328,0.03366466611623764
2,16546.696813985705,45,vehicle.tesla.model3,105.96629333496094,60.90374755859375,0.0014553070068359375
2,16546.696813985705,46,vehicle.yamaha.yzf,-110.76253509521484,46.660091400146484,-0.05484771728515625
2,16546.696813985705,47,vehicle.mitsubishi.fusorosa,-106.68717193603516,-4.847504615783691,-0.011324958875775337
2,16546.696813985705,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.013120822608470917
2,16546.696813985705,49,vehicle.mercedes.coupe,3.0401737689971924,130.21002197265625,0.14094440639019012
2,16546.696813985705,50,vehicle.jeep.wrangler_rubicon,32.99267578125,-67.90010070800781,0.030811309814453125
3,16547.86103694141,45,vehicle.tesla.model3,105.95794677734375,60.0510139465332,0.0014482497936114669
3,16547.86103694141,46,vehicle.yamaha.yzf,-110.76252746582031,46.660091400146484,-0.05485443025827408
3,16547.86103694141,47,vehicle.mitsubishi.fusorosa,-106.68678283691406,-4.847526550292969,-0.007747535593807697
3,16547.86103694141,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.01312551461160183
3,16547.86103694141,49,vehicle.mercedes.coupe,2.9583630561828613,130.209228515625,0.14069843292236328
3,16547.86103694141,50,vehicle.jeep.wrangler_rubicon,32.99266815185547,-67.90010833740234,0.02262062020599842
4,16549.028659269214,45,vehicle.tesla.model3,105.95027160644531,59.14463424682617,0.0014445495326071978
4,16549.028659269214,46,vehicle.yamaha.yzf,-110.76252746582031,46.660091400146484,-0.05485580489039421
4,16549.028659269214,47,vehicle.mitsubishi.fusorosa,-106.68646240234375,-4.847522735595703,-0.004721870180219412
4,16549.028659269214,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.01312826108187437
4,16549.028659269214,49,vehicle.mercedes.coupe,2.821934223175049,130.2086639404297,0.14065921306610107
4,16549.028659269214,50,vehicle.jeep.wrangler_rubicon,32.992637634277344,-67.9001235961914,0.014534415677189827
5,16550.232683703303,45,vehicle.tesla.model3,105.9491195678711,58.19255828857422,0.0014896773500368
5,16550.232683703303,46,vehicle.yamaha.yzf,-110.76252746582031,46.660091400146484,-0.05485580489039421
5,16550.232683703303,47,vehicle.mitsubishi.fusorosa,-106.68624877929688,-4.847503662109375,-0.0028650283347815275
5,16550.232683703303,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.013129405677318573
5,16550.232683703303,49,vehicle.mercedes.coupe,2.6430346965789795,130.2080535888672,0.14069515466690063
5,16550.232683703303,50,vehicle.jeep.wrangler_rubicon,32.97055435180664,-67.90029907226562,0.008888130076229572
6,16551.429073259234,45,vehicle.tesla.model3,105.95636749267578,57.23996353149414,0.0016669082688167691
6,16551.429073259234,46,vehicle.yamaha.yzf,-110.76252746582031,46.660091400146484,-0.05485768988728523
6,16551.429073259234,47,vehicle.mitsubishi.fusorosa,-106.68617248535156,-4.84747838973999,-0.0022340011782944202
6,16551.429073259234,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.013129405677318573
6,16551.429073259234,49,vehicle.mercedes.coupe,2.4241557121276855,130.20730590820312,0.14072459936141968
6,16551.429073259234,50,vehicle.jeep.wrangler_rubicon,32.90385055541992,-67.90045166015625,0.006178169045597315
7,16552.606568738818,45,vehicle.tesla.model3,105.97138214111328,56.31898880004883,0.0018545150524005294
7,16552.606568738818,46,vehicle.yamaha.yzf,-110.76252746582031,46.660091400146484,-0.05485768988728523
7,16552.606568738818,47,vehicle.mitsubishi.fusorosa,-106.68619537353516,-4.847456455230713,-0.0025284194853156805
7,16552.606568738818,48,vehicle.gazelle.omafiets,-87.27456665039062,24.44123649597168,-0.013129405677318573
7,16552.606568738818,49,vehicle.mercedes.coupe,2.1638436317443848,130.20626831054688,0.1407264620065689
7,16552.606568738818,50,vehicle.jeep.wrangler_rubicon,32.80266571044922,-67.90068054199219,0.0059471894055604935
8,16553.767746970057,45,vehicle.tesla.model3,105.99366760253906,55.44291305541992,0.0019984818063676357
8,16553.767746970057,46,vehicle.yamaha.yzf,-110.76294708251953,46.699222564697266,-0.05481380224227905
8,16553.767746970057,47,vehicle.mitsubishi.fusorosa,-106.68619537353516,-4.847456455230713,-0.0025284194853156805
